Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
MSI GF63 THIN 12UCX INTEL I5 12450H 8GB 512GB GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX2050,SSD,Intel Core i5,512GB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp10.699.000
MSI GF63 THIN 12UCX INTEL I5 12450H 8GB 1TB SSD GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX2050,SSD,Intel Core i5,1TB,16 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp11.099.000
MSI GF63 THIN 12UCX INTEL I5 12450H 16GB 512GB GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX2050,SSD,Intel Core i5,512GB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp11.099.000
MSI GF63 THIN 12UCX INTEL I5 12450H 16GB 1TB SSD GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX2050,SSD,Intel Core i5,1TB,16 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp11.499.000
MSI GF63 THIN 11UCX INTEL I5 11400H 8GB 512GB RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX2050,SSD,Intel Core i5,512GB,15 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp10.299.000
MSI GF63 THIN 11UCX INTEL I5 11400H 8GB 1TB SSD RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX2050,SSD,Intel Core i5,1TB,15 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp10.799.000
MSI GF63 THIN 11UCX INTEL I5 11400H 16GB 512GB RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX2050,SSD,Intel Core i5,512GB,15 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp10.799.000
MSI GF63 THIN 11UCX INTEL I5 11400H 16GB 1TB SSD RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX2050,SSD,Intel Core i5,1TB,15 Inch,Black,16GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp11.099.000
MSI GF63 THIN 11SC INTEL I7 11800H 8GB 512GB GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX1650,SSD,Intel Core i7,512GB,14 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp10.899.000
MSI GF63 THIN 11SC INTEL I7 11800H 8GB 1TB SSD GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA GTX1650,SSD,Intel Core i7,1TB,14 Inch,Black,8GB,Backlit Keyboard,,Windows 11 Home,MSI,Non Touchscreen,Rp11.299.000
